"Issue Type";"Issue Key";"Summary";"Description"
"Story";"FAC-01";"Cargar factura individual desde botonera Confirming";"Como usuario del Portal Confirming (EGP / Proveedor / Banco según permiso)
quiero cargar una factura de forma individual desde la botonera global
para registrar el documento y dejarlo disponible en la grilla en estado Pendiente

Valor de negocio: Habilita el ingreso unitario de facturas al flujo de confirming con validación de entes activos.

Escenarios fuente:
-Escenario Cargar facturas individual
-Escenario de VALIDACION que el EGP y PROVEEDOR asociados a la factura a guardar exista y esté activo

Criterios de aceptación:
1. [Feliz] Desde Confirming, al pulsar ""Cargar Factura"" se abre el modal ""Cargar Nueva Factura"" con sección de carga individual y campos: Nro. Factura*, Empresa (EGP)*, Proveedor*, Fecha emisión*, Fecha vencimiento*, Moneda*, Monto*, Fecha Pago (opcional), Timbrado*, Estado Inicial (Pendiente).
2. [Feliz] Si omito Fecha Pago, el sistema usa la fecha de vencimiento (RN-04).
3. [Validación] Si EGP o Proveedor no existen o no están activos, no se guarda y veo MSG-01: ""El EGP o Proveedor indicado no existe o no está activo. Verificá los datos e intentá nuevamente.""
4. [Feliz] Con datos válidos y POST OK, la factura aparece en FV/Pendiente y veo MSG-02: ""Factura cargada correctamente.""
5. [Error] Si falla el guardado, veo MSG-03: ""No pudimos cargar la factura. Intentá nuevamente."" y no se crea el registro.

Escenarios BDD (Gherkin):
Característica: Carga individual de factura
  Escenario: Carga exitosa con entes activos
    Dado que estoy en la pantalla Confirming con permiso de carga
    Y existen un EGP y un Proveedor activos
    Cuando abro ""Cargar Factura"" y completo los campos obligatorios
    Y confirmo el alta
    Entonces veo el mensaje MSG-02: ""Factura cargada correctamente.""
    Y la factura figura en Facturas Vigentes con estado Pendiente

  Escenario: Validación de ente inexistente o inactivo
    Dado que el Proveedor asociado no está activo
    Cuando intento guardar la factura
    Entonces veo el mensaje MSG-01: ""El EGP o Proveedor indicado no existe o no está activo. Verificá los datos e intentá nuevamente.""
    Y no se crea la factura

Fuera de alcance:
- Carga masiva y escaneo OCR (FAC-02 / S-01 fuera)
- Notificación al EGP (FAC-06)

Notas / preguntas abiertas:
- Depende de FAC-03/FAC-05 para validación y persistencia.

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Story";"FAC-02";"Carga masiva de facturas (template + archivo)";"Como usuario del Portal Confirming con permiso de carga
quiero descargar un template y cargar múltiples facturas desde archivo
para agilizar el alta masiva sin carga manual una a una

Valor de negocio: Reduce tiempo operativo de onboarding de facturas al confirming.

Escenarios fuente:
-Escenario Cargar facturas masivo: descargar template
-Escenario Cargar facturas masico: cargar desde archivo
-Escenario scanear facturas? → FUERA (S-01)
-Escenario de VALIDACION que el EGP y PROVEEDOR asociados a la factura a guardar exista y esté activo

Criterios de aceptación:
1. [Feliz] En el modal de carga, la sección masiva permite descargar template (.xls/.xlsx/.csv) con columnas: Nro. Factura, Empresa (EGP), Proveedor, Fecha emisión, Fecha vencimiento, Moneda, Monto, Fecha Pago, Timbrado.
2. [Feliz] Puedo subir un archivo válido; el sistema procesa fila a fila y muestra ""Resultado de carga masiva"" con OK / error por fila.
3. [Validación] Filas con EGP/Proveedor inexistente o inactivo se rechazan con detalle; las válidas se persisten (RN-01).
4. [Error] Archivo con formato inválido → MSG-04: ""El archivo no tiene el formato esperado. Descargá el template e intentá nuevamente.""
5. [Feliz] Al finalizar, veo MSG-05: ""Carga masiva finalizada: {ok} correctas, {error} con error.""

Escenarios BDD (Gherkin):
Característica: Carga masiva de facturas
  Escenario: Descarga de template
    Dado que abro Cargar Factura
    Cuando solicito descargar el template
    Entonces obtengo un archivo con las columnas definidas en la POC

  Escenario: Carga parcial con validación de entes
    Dado un archivo con 2 filas válidas y 1 con proveedor inactivo
    Cuando proceso la carga masiva
    Entonces se crean solo las 2 facturas válidas
    Y el resultado detalla el error de la fila inválida
    Y veo el mensaje MSG-05: ""Carga masiva finalizada: {ok} correctas, {error} con error.""

Fuera de alcance:
- Escaneo / OCR de facturas (S-01 confirmado FUERA)
- Edición inline de filas fallidas (re-subir archivo)

Notas / preguntas abiertas:
- Escenarios de OCR no se implementan en esta entrega.

Chequeo INVEST: I✅ N✅ V✅ E✅ S⚠️ T✅"
"Story";"FAC-04";"Selector de moneda USD / PYG al cargar factura";"Como usuario que carga facturas
quiero elegir la moneda USD o PYG
para registrar el monto en la divisa correcta del confirming

Valor de negocio: Soporta operaciones multimoneda alineadas a línea de crédito del EGP.

Escenarios fuente:
-Escenario selector de moneda USD / PYG

Criterios de aceptación:
1. [Feliz] En carga individual (y template masivo) el campo Moneda ofrece solo PYG y USD (RN-05).
2. [Validación] Sin moneda seleccionada no se habilita guardar; veo MSG-06: ""Seleccioná la moneda de la factura.""
3. [Feliz] La moneda queda visible en grilla y condiciona simulación múltiple (mismo EGP-Proveedor-moneda).

Escenarios BDD (Gherkin):
Característica: Multimoneda en carga
  Escenario: Selección PYG
    Dado el modal de carga individual
    Cuando selecciono moneda PYG y completo el resto de campos
    Entonces la factura se guarda en PYG y se muestra así en la grilla

Fuera de alcance:
- Otras monedas distintas de PYG/USD

Notas / preguntas abiertas:
—

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Story";"CON-01";"Pantalla Confirming: filtros, grilla y pestañas FV / FNV / FNO";"Como usuario del Portal Confirming
quiero ver facturas filtradas en pestañas por vigencia/operabilidad
para operar solo sobre el conjunto relevante a cada estado

Valor de negocio: Organiza el trabajo diario de EGP/Proveedor/Banco sobre el ciclo de vida de facturas.

Escenarios fuente:
-Escenario de Filtros de Busqueda
-Escenario de campos a Mostrar en la Grilla
-Escenario de pestañas FV/FNV/FNO de la grilla según estado de la facturas

Criterios de aceptación:
1. [Feliz] Existe pantalla Confirming con pestañas: Facturas Vigentes (Pendiente, Habilitada, Bloqueada, Pendiente aprobación EGP, Pendiente de desembolso), Facturas No Vigentes (Financiada, Vencida), Facturas No Operables (NO ELEGIBLE) — RN-02.
2. [Feliz] Filtros: Buscar, Fecha de Vencimiento, Fecha de Pago, Estado (lista alineada a máquina de estados).
3. [Feliz] Columnas grilla: Nro. Factura, Empresa (EGP), Proveedor, Fecha emisión, Fecha vencimiento, Moneda, Monto, Fecha Pago, Timbrado, Estado, Eliminar, Acciones (según POC).
4. [Feliz] Botonera global visible según selección/permisos: Habilitar, Bloquear, Simular, Cargar Factura.
5. [Alternativo] Sin resultados → MSG-07: ""No hay facturas para los filtros seleccionados.""

Escenarios BDD (Gherkin):
Característica: Grilla Confirming
  Escenario: Pestaña FV muestra solo estados vigentes
    Dado facturas en Pendiente y Financiada
    Cuando abro la pestaña Facturas Vigentes
    Entonces veo la Pendiente y no veo la Financiada

  Escenario: Filtro por estado
    Dado varias facturas Habilitadas y Bloqueadas
    Cuando filtro Estado = Habilitada
    Entonces la grilla lista solo Habilitadas

Fuera de alcance:
- Acciones de fila (CON-02+)
- ABM de entes

Notas / preguntas abiertas:
- Depende de CON-03 (GET grilla).

Chequeo INVEST: I✅ N✅ V✅ E✅ S⚠️ T✅"
"Story";"CON-02";"Botonera de acciones por factura en la grilla";"Como usuario en la grilla Confirming
quiero ver las acciones disponibles por factura según estado
para iniciar eliminar, editar fecha de pago, aprobar EGP o ver desembolso en curso

Valor de negocio: Expone el punto de entrada UX a cada flujo operativo sin ejecutar aún la lógica completa (flujos en otras HUs).

Escenarios fuente:
-Escenario de boton Eliminar Factura, siempre visible y activo
-Escenario de botón Editar Fecha de Pago, siempre visible y activo
-Escenario de botón Aprobar EGP, solo se muestra para facturas en estado Pendiente de Aprobación EGP
-Escenario de Mensaje de Espera en desembolso: ""Desembolso en curso..."" con ruedita animada, solo para Pendiente de Desembolso

Criterios de aceptación:
1. [Feliz] Columna Acciones muestra Eliminar y Editar Fecha de Pago siempre visibles/activos (sujeto a permiso de rol).
2. [Feliz] Botón Aprobar EGP solo si estado = Pendiente de Aprobación EGP.
3. [Feliz] Si estado = Pendiente de Desembolso, en acciones se muestra MSG-08: ""Desembolso en curso..."" con indicador animado (sin botones conflictivos) — S-07 polling 15–30s.
4. [Alternativo] Sin permiso: acciones no disponibles o deshabilitadas con MSG-09: ""No tenés permiso para esta acción.""

Escenarios BDD (Gherkin):
Característica: Acciones por fila
  Escenario: Aprobar EGP visible solo en estado correcto
    Dado una factura Pendiente de Aprobación EGP y otra Habilitada
    Cuando visualizo la grilla
    Entonces solo la primera muestra el botón Aprobar EGP

  Escenario: Desembolso en curso
    Dado una factura Pendiente de Desembolso
    Cuando miro la columna Acciones
    Entonces veo el mensaje MSG-08: ""Desembolso en curso...""
    Y un indicador animado

Fuera de alcance:
- Implementación de modales (CON-12, CON-04, CON-05)

Notas / preguntas abiertas:
—

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Story";"CON-12";"Eliminar factura con modal de confirmación";"Como usuario con permiso
quiero eliminar una factura desde la grilla con confirmación
para retirar del operable documentos cargados por error (baja lógica)

Valor de negocio: Corrige errores de carga sin borrar físicamente el historial (SUP-04 / RN-06).

Escenarios fuente:
-Escenario modal de confirmación del boton Eliminar Factura, con los datos de la factura y boton de confirmar

Criterios de aceptación:
1. [Feliz] Al pulsar Eliminar se abre modal con datos clave de la factura y acciones Confirmar / Cancelar.
2. [Feliz] Al confirmar, se aplica baja lógica (RN-06); la factura deja de operarse en grillas vigentes según regla de proyección; veo MSG-10: ""Factura eliminada correctamente.""
3. [Alternativo] Cancelar cierra el modal sin cambios.
4. [Error] Falla de API → MSG-11: ""No pudimos eliminar la factura. Intentá nuevamente.""

Escenarios BDD (Gherkin):
Característica: Eliminar factura
  Escenario: Confirmación de baja lógica
    Dado una factura Pendiente en la grilla
    Cuando pulso Eliminar y confirmo en el modal
    Entonces veo el mensaje MSG-10: ""Factura eliminada correctamente.""
    Y la factura ya no aparece como operable en FV

Fuera de alcance:
- Borrado físico en base
- Restaurar factura eliminada

Notas / preguntas abiertas:
- Key propuesto (Excel tenía CON-03 duplicado) → CON-12 (SUP-10).

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Story";"CON-04";"Editar fecha de pago con warning de NO ELEGIBLE";"Como usuario EGP / operador autorizado
quiero editar la fecha de pago de una factura
para evitar o corregir el estado NO ELEGIBLE cuando quedan menos de 30 días

Valor de negocio: Recupera facturas operables ajustando la fecha de pago (RN-03).

Escenarios fuente:
-Escenario modal de confirmación del boton Editar Fecha de Pago de Factura, con los datos de la factura y boton de confirmar (con warning de cantidad de dias para que pase a NO Elegible)

Criterios de aceptación:
1. [Feliz] Modal ""Editar fecha de pago"" muestra factura y campo Fecha de Pago.
2. [Validación] Si la nueva fecha deja menos de 30 días, muestro MSG-12: ""Atención: con esta fecha de pago la factura quedará NO ELEGIBLE (quedan menos de 30 días).""
3. [Feliz] Al confirmar, se actualiza vía PATCH; si la fecha vuelve a ≥30 días desde hoy, el estado puede pasar a Habilitada según máquina de estados (RN-03); MSG-13: ""Fecha de pago actualizada.""
4. [Alternativo] Cancelar no persiste cambios.

Escenarios BDD (Gherkin):
Característica: Editar fecha de pago
  Escenario: Warning por proximidad a 30 días
    Dado una factura con fecha de pago a 25 días
    Cuando abro Editar Fecha de Pago
    Entonces veo el mensaje MSG-12: ""Atención: con esta fecha de pago la factura quedará NO ELEGIBLE (quedan menos de 30 días).""

  Escenario: Corrección que rehabilita
    Dado una factura NO ELEGIBLE
    Cuando el EGP setea una fecha de pago con ≥30 días y confirma
    Entonces la factura deja FNO y pasa a estado operable según RN-03
    Y veo el mensaje MSG-13: ""Fecha de pago actualizada.""

Fuera de alcance:
- Edición de otros campos de la factura

Notas / preguntas abiertas:
—

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Story";"CON-05";"Aprobar o rechazar factura pendiente de aprobación EGP";"Como aprobador EGP
quiero aprobar o rechazar (con o sin motivo) una factura en Pendiente de Aprobación EGP
para autorizar que continúe el flujo hacia el adelanto/desembolso

Valor de negocio: Control crediticio del EGP antes de avanzar operaciones (paso 1 de S-04).

Escenarios fuente:
-Escenario modal de confirmación del boton Aprobar EGP, con los datos de la factura y boton de confirmar (misma información que el modal de Simulación, con datos bloqueados) y opciones Aprobar, Rechazar (con o sin motivo)

Criterios de aceptación:
1. [Feliz] Modal muestra información tipo simulación en solo lectura + acciones Aprobar / Rechazar.
2. [Feliz] Aprobar cambia estado según máquina (avanza flujo); MSG-14: ""Factura aprobada por el EGP.""
3. [Feliz] Rechazar permite motivo opcional (S-08); MSG-15: ""Factura rechazada por el EGP.""
4. [Validación] Solo disponible en Pendiente de Aprobación EGP (CON-02).
5. [Error] Fallo API → MSG-16: ""No pudimos registrar la decisión del EGP. Intentá nuevamente.""

Escenarios BDD (Gherkin):
Característica: Aprobación EGP de factura
  Escenario: Aprobar
    Dado una factura Pendiente de Aprobación EGP
    Cuando abro Aprobar EGP y confirmo Aprobar
    Entonces veo el mensaje MSG-14: ""Factura aprobada por el EGP.""
    Y el estado deja de ser Pendiente de Aprobación EGP

  Escenario: Rechazar sin motivo
    Dado el modal de Aprobar EGP
    Cuando elijo Rechazar sin completar motivo
    Entonces la operación se acepta
    Y veo el mensaje MSG-15: ""Factura rechazada por el EGP.""

Fuera de alcance:
- Aprobación/rechazo de la simulación de adelanto (SIM-05 — flujo distinto, S-04)

Notas / preguntas abiertas:
- Distinto de SIM-05 (confirmado S-04).

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Story";"CON-07";"Cabecera de información crediticia EGP y Proveedor";"Como aprobador EGP
quiero ver información crediticia del EGP y del Proveedor
para decidir con contexto límites, tasas y morosidad al aprobar adelantos

Valor de negocio: Reduce riesgo de aprobación a ciegas; límite mostrado = límite API − freezado (RN-07).

Escenarios fuente:
-Escenario cabecera de información financiera del EGP: RUC, Razón Social, Limites, Tasas
-Escenario cabecera de información financiera del Proveedor: RUC, Razón Social, creditos activos, estado de morosidad
-Escenario Calculo de Limite de credito a mostrar = limite de credito obtenido desde la API - Limite freezado

Criterios de aceptación:
1. [Feliz] Cabecera/panel EGP: RUC, Razón Social, Límites, Tasas; límite disponible = API − freezado (RN-07).
2. [Feliz] Cabecera Proveedor: RUC, Razón Social, créditos activos, estado de morosidad.
3. [Error] Si falla info ente → MSG-17: ""No pudimos obtener la información crediticia. Reintentá más tarde.""
4. [Feliz] Visible en contexto de aprobación/simulación para dominio EGP.

Escenarios BDD (Gherkin):
Característica: Info crediticia
  Escenario: Cálculo de límite disponible
    Dado límite API 1000 y freezado 200
    Cuando consulto la cabecera EGP
    Entonces el límite a mostrar es 800

Fuera de alcance:
- Edición de límites (ABM/core)

Notas / preguntas abiertas:
- Consume CON-08 / MAGIA-120-122.

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Story";"CON-11";"Habilitar y bloquear facturas en lote desde botonera";"Como usuario autorizado
quiero habilitar o bloquear una o varias facturas desde la botonera global
para controlar qué documentos pueden avanzar a simulación/adelanto

Valor de negocio: Gestión masiva del estado operable antes del adelanto.

Escenarios fuente:
-Escenario Habilitar Factura: cambio de estado de multiples facturas en estados válidos (pendiente/bloqueado)
-Escenario Bloquear Factura: cambio de estado de multiples facturas en estados válidos (pendiente/habilitado/pendiente de aprobacion de EGP)

Criterios de aceptación:
1. [Feliz] Selecciono N facturas y Habilitar: solo transicionan desde Pendiente o Bloqueada → Habilitada; MSG-18: ""{n} factura(s) habilitada(s).""
2. [Feliz] Bloquear: desde Pendiente, Habilitada o Pendiente de Aprobación EGP → Bloqueada; MSG-19: ""{n} factura(s) bloqueada(s).""
3. [Validación] Si alguna selección no admite la transición, no se aplica a esa fila y veo MSG-20: ""Algunas facturas no admiten esta transición y fueron omitidas.""
4. [Error] Fallo total → MSG-21: ""No pudimos actualizar el estado. Intentá nuevamente.""

Escenarios BDD (Gherkin):
Característica: Habilitar / Bloquear
  Escenario: Habilitar múltiples desde Pendiente
    Dado 3 facturas Pendiente seleccionadas
    Cuando pulso Habilitar
    Entonces pasan a Habilitada
    Y veo el mensaje MSG-18: ""{n} factura(s) habilitada(s).""

Fuera de alcance:
- Transiciones automáticas por fecha (CON-09)

Notas / preguntas abiertas:
—

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
